date,startup_name,industry,city,investment_type,amount_usd,period
2015-04-28,Jay Robotix,EdTech,Hyderabad,Seed,250000.0,Pre-COVID
2015-04-28,Naaptol.com,E-commerce,Mumbai,Private Equity,21500000.0,Pre-COVID
2015-04-29,Travel Triangle,E-commerce,Noida,Private Equity,8000000.0,Pre-COVID
2015-04-29,PiQube,SaaS,Chennai,Seed,500000.0,Pre-COVID
2015-04-29,Tradelab,FinTech,Bengaluru,Seed,400000.0,Pre-COVID
2015-04-29,ReGlobe,Consumer Electronics,Gurugram,Seed,1000000.0,Pre-COVID
2015-04-29,Tracxn,SaaS,Bengaluru,Private Equity,3500000.0,Pre-COVID
2015-04-29,Icertis,Enterprise,Pune,Private Equity,6000000.0,Pre-COVID
2015-04-29,Dazo,FoodTech,Bengaluru,Seed,,Pre-COVID
2015-05-01,Foodpanda,FoodTech,Gurugram,Private Equity,100000000.0,Pre-COVID
2015-05-01,Termsheet,SaaS,Chennai,Seed,100000.0,Pre-COVID
2015-05-04,SpoonJoy,FoodTech,Bengaluru,Seed,1000000.0,Pre-COVID
2015-05-04,Applicate,Enterprise,Bengaluru,Seed,550000.0,Pre-COVID
2015-05-04,World Art Community,E-commerce,Gurugram,Seed,200000.0,Pre-COVID
2015-05-05,Fintellix,FinTech,Bengaluru,Private Equity,15000000.0,Pre-COVID
2015-05-05,Customer360,SaaS,Mumbai,Seed,,Pre-COVID
2015-05-05,Square Yards,RealEstate,Gurugram,Private Equity,6000000.0,Pre-COVID
2015-05-05,Ignis Careers,Others,Hyderabad,Seed,250000.0,Pre-COVID
2015-05-05,Seed Schools,EdTech,Hyderabad,Seed,650000.0,Pre-COVID
2015-05-06,Delhivery,Logistics,Gurugram,Private Equity,85000000.0,Pre-COVID
2015-05-06,Swiggy,FoodTech,Bengaluru,Private Equity,15000000.0,Pre-COVID
2015-05-07,Uniphore,SaaS,Chennai,Private Equity,,Pre-COVID
2015-05-07,Box8,FoodTech,Mumbai,Private Equity,3500000.0,Pre-COVID
2015-05-07,Toppr,EdTech,Mumbai,Private Equity,10000000.0,Pre-COVID
2015-05-07,Vedantu,EdTech,Bengaluru,Private Equity,5000000.0,Pre-COVID
2015-05-08,Uniken,SaaS,Pune,Private Equity,2000000.0,Pre-COVID
2015-05-08,GrandOpinion,HealthTech,Delhi,Seed,150000.0,Pre-COVID
2015-05-08,HealthifyMe,HealthTech,Bengaluru,Private Equity,,Pre-COVID
2015-05-08,BuyHatke,Others,Bengaluru,Seed,1000000.0,Pre-COVID
2015-05-08,KleverKid,EdTech,Delhi,Seed,,Pre-COVID
2015-05-12,ZapStitch,SaaS,Bengaluru,Private Equity,2000000.0,Pre-COVID
2015-05-12,Wassup,Others,Chennai,Private Equity,2000000.0,Pre-COVID
2015-05-12,Mobiefit,HealthTech,Goa,Seed,,Pre-COVID
2015-05-12,Plancess,EdTech,Mumbai,Seed,2000000.0,Pre-COVID
2015-05-12,WorkHorse,Others,Mumbai,Seed,,Pre-COVID
2015-05-13,MyCuteOffice,Mobility,Mumbai,Seed,,Pre-COVID
2015-05-13,Innovaccer,SaaS,Noida,Seed,,Pre-COVID
2015-05-14,RedPolka,E-commerce,Mumbai,Seed,250000.0,Pre-COVID
2015-05-14,IndianRoots.com,E-commerce,Gurugram,Private Equity,5000000.0,Pre-COVID
2015-05-15,Venturesity,EdTech,Bengaluru,Seed,270000.0,Pre-COVID
2015-05-18,Awaaz De,Enterprise,Ahmedabad,Seed,,Pre-COVID
2015-05-18,TheBetterIndia.com,Media,Bengaluru,Seed,,Pre-COVID
2015-05-19,Springleap,,,Seed,800000.0,Pre-COVID
2015-05-19,Crown-it,E-commerce,Gurugram,Private Equity,5500000.0,Pre-COVID
2015-05-19,Akosha,Mobility,Delhi,Private Equity,16000000.0,Pre-COVID
2015-05-19,Cooey,HealthTech,Bengaluru,Seed,470000.0,Pre-COVID
2015-05-19,MeetUniv,SaaS,Noida,Seed,1000000.0,Pre-COVID
2015-05-19,Inspirock,Mobility,,Private Equity,,Pre-COVID
2015-05-19,Trucksfirst,Logistics,Gurugram,Private Equity,10000000.0,Pre-COVID
2015-05-19,Chaayos,Retail,Delhi,Private Equity,1000000.0,Pre-COVID
2015-05-20,Lookup,Others,Bengaluru,Private Equity,3000000.0,Pre-COVID
2015-05-21,Knit,,,Seed,,Pre-COVID
2015-05-21,Villgro,,,Seed,3250000.0,Pre-COVID
2015-05-21,SunTerrace,Cleantech,Delhi,Private Equity,,Pre-COVID
2015-05-22,\\xc2\\xa0Nudgespot,SaaS,Bengaluru,Seed,625000.0,Pre-COVID
2015-05-22,CarDekho,Others,Jaipur,Private Equity,,Pre-COVID
2015-05-22,EveningFlavors,Others,Bengaluru,Seed,500000.0,Pre-COVID
2015-05-25,Razorpay,FinTech,Bengaluru,Seed,,Pre-COVID
2015-05-25,ZenParent,Media,Bengaluru,Seed,500000.0,Pre-COVID
2015-05-25,Newgen Payments,FinTech,Delhi,Seed,,Pre-COVID
2015-05-26,UrbanPro,E-commerce,Bengaluru,Private Equity,2000000.0,Pre-COVID
2015-05-26,Goodbox,Mobility,Bengaluru,Seed,200000.0,Pre-COVID
2015-05-26,Renderlogy,RealEstate,Hyderabad,Private Equity,1000000.0,Pre-COVID
2015-05-27,FleetRover,Logistics,Goa,Seed,180000.0,Pre-COVID
2015-05-27,Casa2inns,Mobility,Delhi,Private Equity,5000000.0,Pre-COVID
2015-05-27,Postman,SaaS,Bengaluru,Seed,1000000.0,Pre-COVID
2015-05-28,TheKarrier,Logistics,Bengaluru,Seed,240000.0,Pre-COVID
2015-05-28,Zoomcar,Mobility,Bengaluru,Private Equity,5000000.0,Pre-COVID
2015-05-28,Truweight,Others,Hyderabad,Private Equity,,Pre-COVID
2015-05-30,Ather Energy,Others,Bengaluru,Private Equity,12000000.0,Pre-COVID
2015-06-01,Arth DesignBuild,SaaS,Hyderabad,Seed,500000.0,Pre-COVID
2015-06-01,Proviera,AI & Deep Tech,Chennai,Private Equity,550000.0,Pre-COVID
2015-06-01,Glamrs,E-commerce,Mumbai,Private Equity,1000000.0,Pre-COVID
2015-06-01,CredR,E-commerce,Mumbai,Seed,,Pre-COVID
2015-06-01,Vyomo,HealthTech,Delhi,Seed,,Pre-COVID
2015-06-01,Meritnation,EdTech,Delhi,Private Equity,4000000.0,Pre-COVID
2015-06-01,Truebil,E-commerce,Mumbai,Seed,500000.0,Pre-COVID
2015-06-01,Veeba Foods,HealthTech,Delhi,Private Equity,6000000.0,Pre-COVID
2015-06-01,Eattreatonline,HealthTech,Delhi,Seed,350000.0,Pre-COVID
2015-06-02,Saama,SaaS,Pune,Private Equity,35000000.0,Pre-COVID
2015-06-02,AllIzHealth,HealthTech,Pune,Seed,350000.0,Pre-COVID
2015-06-02,Karma Healthcare,HealthTech,Udaipur,Private Equity,,Pre-COVID
2015-06-03,iCustomadeit,E-commerce,Pune,Seed,250000.0,Pre-COVID
2015-06-03,Entropy Innovations,Others,Mumbai,Seed,,Pre-COVID
2015-06-03,MyTaxiIndia,Mobility,Delhi,Seed,100000.0,Pre-COVID
2015-06-03,Arkin Net,SaaS,Pune,Private Equity,15000000.0,Pre-COVID
2015-06-03,Little Black Book Delhi,SaaS,Delhi,Seed,150000.0,Pre-COVID
2015-06-03,MyPoolin,FinTech,Delhi,Seed,,Pre-COVID
2015-06-03,KAARYAH,E-commerce,Gurugram,Seed,,Pre-COVID
2015-06-03,Propstack,RealEstate,Mumbai,Private Equity,3000000.0,Pre-COVID
2015-06-04,Ecom Express,Logistics,Delhi,Private Equity,137000000.0,Pre-COVID
2015-06-04,Zopper,E-commerce,Mumbai,Private Equity,20000000.0,Pre-COVID
